net,length_um
net125,39.96µm
u_regfile.regs\[6\]\[5\],39.78µm
dmem_rdata[10],39.49µm
_1898_,39.48µm
_2198_,39.47µm
dmem_wdata[1],39.43µm
_1415_,39.385µm
_0541_,39.36µm
_2327_,39.36µm
_2288_,39.285µm
net375,39.265µm
net54,39.165µm
_0936_,39.13µm
_0652_,39.1µm
_0685_,39.09µm
imem_data[0],39.01µm
u_regfile.regs\[2\]\[12\],38.765µm
_0765_,38.745µm
_1454_,38.69µm
dmem_rdata[8],38.65µm
_1552_,38.59µm
net50,38.58µm
_2345_,38.57µm
_1330_,38.375µm
u_regfile.regs\[6\]\[6\],38.37µm
net124,38.34µm
_1421_,38.19µm
_1849_,38.17µm
_0793_,38.065µm
_1189_,37.925µm
net73,37.92µm
_2388_,37.75µm
net170,37.725µm
dmem_rdata[17],37.68µm
u_regfile.regs\[4\]\[5\],37.675µm
u_regfile.regs\[4\]\[6\],37.56µm
net604,37.51µm
_1241_,37.48µm
_1451_,37.46µm
net92,37.45µm
imem_data[19],37.45µm
net576,37.43µm
_1627_,37.17µm
dmem_rdata[13],37.09µm
_0514_,37.02µm
_0564_,36.96µm
_2379_,36.8µm
_0782_,36.72µm
_0775_,36.645µm
_2369_,36.645µm
u_regfile.regs\[6\]\[9\],36.625µm
net411,36.595µm
u_regfile.regs\[5\]\[18\],36.54µm
dmem_rdata[7],36.5µm
_2432_,36.43µm
u_regfile.regs\[7\]\[8\],36.425µm
net192,36.2µm
_1506_,36.145µm
dmem_rdata[12],36.13µm
imem_data[6],36.13µm
_2110_,36.12µm
_2460_,36.12µm
net133,36.06µm
u_regfile.regs\[7\]\[31\],36.02µm
_1393_,36.01µm
_2455_,36.01µm
io_rdata[16],36.01µm
_0792_,35.97µm
_0891_,35.82µm
_2477_,35.705µm
_1068_,35.41µm
u_regfile.regs\[4\]\[22\],35.31µm
_0619_,35.29µm
_1877_,35.24µm
imem_data[5],35.17µm
_2160_,35.16µm
_1913_,35.09µm
io_rdata[10],35.05µm
_1428_,34.945µm
io_rdata[24],34.68µm
_0777_,34.62µm
_2535_,34.62µm
io_rdata[14],34.58µm
io_rdata[13],34.57µm
c_flag,34.22µm
imem_data[17],34.2µm
net193,34.15µm
_0850_,34.09µm
_0623_,34.045µm
net7,34.03µm
io_rdata[8],33.98µm
dmem_wdata[27],33.97µm
_0910_,33.92µm
_2499_,33.915µm
_1856_,33.8µm
_0907_,33.765µm
dmem_rdata[11],33.62µm
dmem_rdata[14],33.61µm
dmem_addr[6],33.595µm
_2184_,33.56µm
_1975_,33.55µm
_0653_,33.49µm
_2502_,33.43µm
_1132_,33.37µm
net176,33.36µm
_1396_,33.32µm
dmem_rdata[6],33.25µm
io_rdata[5],33.25µm
io_rdata[6],33.25µm
io_wdata[11],33.25µm
_1959_,33.14µm
_1612_,33.13µm
_1872_,33.12µm
net126,33.07µm
_1005_,33µm
dmem_wdata[17],32.94µm
u_regfile.regs\[6\]\[16\],32.89µm
u_regfile.regs\[7\]\[28\],32.79µm
u_regfile.regs\[2\]\[25\],32.78µm
_1531_,32.725µm
dmem_wdata[7],32.71µm
io_rdata[4],32.65µm
_2424_,32.64µm
_0704_,32.575µm
io_rdata[1],32.54µm
_1682_,32.52µm
_0878_,32.46µm
_2158_,32.41µm
n_flag,32.375µm
net168,32.34µm
_1570_,32.3µm
dmem_addr[7],32.255µm
u_regfile.regs\[2\]\[28\],32.25µm
net162,32.24µm
_1625_,32.23µm
imem_addr[3],32.19µm
imem_data[18],32.17µm
u_regfile.regs\[6\]\[15\],32.16µm
u_regfile.regs\[3\]\[28\],32.065µm
_0576_,32.04µm
_1269_,31.94µm
dmem_addr[30],31.87µm
dmem_addr[8],31.75µm
dmem_wdata[30],31.75µm
imem_addr[1],31.75µm
dmem_rdata[21],31.69µm
_1594_,31.67µm
_1328_,31.615µm
dmem_addr[28],31.5µm
imem_data[12],31.34µm
imem_data[7],31.33µm
io_rdata[9],31.33µm
_2431_,31.315µm
net49,31.2µm
