Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_78_140,VSS,Metal1,73.9080,310.3360,0.000390
FILLER_78_133,VSS,Metal1,71.2860,310.4200,0.000393
FILLER_78_126,VSS,Metal1,67.9260,310.4200,0.000396
FILLER_78_98,VSS,Metal1,53.0400,309.9600,0.000431
FILLER_78_96,VSS,Metal1,52.3200,309.9600,0.000431
FILLER_78_68,VSS,Metal1,38.6400,309.9600,0.000356
FILLER_78_66,VSS,Metal1,37.9200,309.9600,0.000356
FILLER_78_59,VSS,Metal1,35.7660,310.4200,0.000277
FILLER_78_52,VSS,Metal1,32.4060,310.4200,0.000197
FILLER_78_45,VSS,Metal1,29.0460,310.4200,0.000116
FILLER_78_38,VSS,Metal1,25.6860,310.4200,0.000036
FILLER_78_33,VSS,Metal1,21.8400,309.9600,0.000171
FILLER_78_31,VSS,Metal1,21.1200,309.9600,0.000173
FILLER_78_25,VSS,Metal1,18.0000,309.9600,0.000173
FILLER_78_18,VSS,Metal1,16.0860,310.4200,0.000173
FILLER_78_7,VSS,Metal1,10.8060,310.4200,0.000173
FILLER_78_0,VSS,Metal1,7.4460,310.4200,0.000173
FILLER_77_651,VSS,Metal1,318.4800,309.9600,0.001651
FILLER_77_647,VSS,Metal1,317.2680,309.5830,0.001651
FILLER_77_640,VSS,Metal1,314.6460,309.4990,0.001651
FILLER_77_631,VSS,Metal1,309.5880,309.5830,0.001649
FILLER_77_624,VSS,Metal1,306.9660,309.4990,0.001647
FILLER_77_618,VSS,Metal1,302.6400,309.9600,0.001179
FILLER_77_593,VSS,Metal1,291.3480,309.5830,0.001166
FILLER_77_586,VSS,Metal1,288.7260,309.4990,0.001143
FILLER_77_579,VSS,Metal1,285.3660,309.4990,0.001119
FILLER_77_572,VSS,Metal1,282.0060,309.4990,0.001029
FILLER_77_562,VSS,Metal1,275.7600,309.9600,0.000840
FILLER_77_558,VSS,Metal1,274.5480,309.5830,0.000840
FILLER_77_551,VSS,Metal1,271.9260,309.4990,0.000840
FILLER_77_544,VSS,Metal1,268.5660,309.4990,0.000832
FILLER_77_537,VSS,Metal1,265.2060,309.4990,0.000462
FILLER_77_530,VSS,Metal1,261.8460,309.4990,0.000413
FILLER_77_513,VSS,Metal1,252.4800,309.9600,0.000084
FILLER_77_509,VSS,Metal1,251.0280,309.5830,0.000101
FILLER_77_502,VSS,Metal1,248.4060,309.4990,0.000101
FILLER_77_495,VSS,Metal1,245.0460,309.4990,0.000101
FILLER_77_475,VSS,Metal1,234.0000,309.9600,0.000391
FILLER_77_471,VSS,Metal1,232.7880,309.5830,0.000391
FILLER_77_464,VSS,Metal1,230.1660,309.4990,0.000415
FILLER_77_457,VSS,Metal1,226.8060,309.4990,0.000447
FILLER_77_450,VSS,Metal1,223.4460,309.4990,0.000479
FILLER_77_444,VSS,Metal1,219.1200,309.9600,0.000501
FILLER_77_440,VSS,Metal1,217.9080,309.5830,0.000501
FILLER_77_433,VSS,Metal1,215.2860,309.4990,0.000506
FILLER_77_421,VSS,Metal1,208.7880,309.5830,0.000509
FILLER_77_415,VSS,Metal1,205.4400,309.9600,0.000498
FILLER_77_406,VSS,Metal1,201.1200,309.9600,0.000482
FILLER_77_402,VSS,Metal1,199.6680,309.5830,0.000482
FILLER_77_392,VSS,Metal1,194.1600,309.9600,0.000482
FILLER_77_390,VSS,Metal1,193.4400,309.9600,0.000482
FILLER_77_366,VSS,Metal1,181.6800,309.9600,0.000312
FILLER_77_362,VSS,Metal1,180.4680,309.5830,0.000305
FILLER_77_349,VSS,Metal1,173.5200,309.9600,0.000144
FILLER_77_347,VSS,Metal1,172.8000,309.9600,0.000144
FILLER_77_340,VSS,Metal1,170.6460,309.4990,0.000163
FILLER_77_318,VSS,Metal1,158.8800,309.9600,0.000207
FILLER_77_314,VSS,Metal1,157.4280,309.5830,0.000212
FILLER_77_307,VSS,Metal1,154.8060,309.4990,0.000212
FILLER_77_296,VSS,Metal1,149.5260,309.4990,0.000220
FILLER_77_285,VSS,Metal1,144.2460,309.4990,0.000222
FILLER_77_278,VSS,Metal1,140.8860,309.4990,0.000220
FILLER_77_271,VSS,Metal1,137.5260,309.4990,0.000213
FILLER_77_232,VSS,Metal1,117.6000,309.9600,0.000170
FILLER_77_225,VSS,Metal1,115.4460,309.4990,0.000170
FILLER_77_218,VSS,Metal1,112.0860,309.4990,0.000162
FILLER_77_211,VSS,Metal1,108.7260,309.4990,0.000132
FILLER_77_180,VSS,Metal1,92.4000,309.9600,0.000220
FILLER_77_176,VSS,Metal1,91.1880,309.5830,0.000220
FILLER_77_169,VSS,Metal1,88.5660,309.4990,0.000220
FILLER_77_156,VSS,Metal1,81.5880,309.5830,0.000306
FILLER_77_145,VSS,Metal1,75.6000,309.9600,0.000384
FILLER_77_143,VSS,Metal1,74.8800,309.9600,0.000384
FILLER_77_136,VSS,Metal1,72.7260,309.4990,0.000390
FILLER_77_129,VSS,Metal1,69.3660,309.4990,0.000393
FILLER_77_122,VSS,Metal1,66.0060,309.4990,0.000396
FILLER_77_115,VSS,Metal1,62.6460,309.4990,0.000427
FILLER_77_95,VSS,Metal1,53.0460,309.4990,0.000431
FILLER_77_85,VSS,Metal1,46.8000,309.9600,0.000431
FILLER_77_83,VSS,Metal1,46.0800,309.9600,0.000431
FILLER_77_72,VSS,Metal1,40.5600,309.9600,0.000431
FILLER_77_65,VSS,Metal1,38.6460,309.4990,0.000356
FILLER_77_58,VSS,Metal1,35.2860,309.4990,0.000276
FILLER_77_51,VSS,Metal1,31.9260,309.4990,0.000195
FILLER_77_44,VSS,Metal1,28.5660,309.4990,0.000115
FILLER_77_4,VSS,Metal1,7.9200,309.9600,0.000173
FILLER_77_0,VSS,Metal1,6.7080,309.5830,0.000173
FILLER_76_642,VSS,Metal1,314.1600,302.4000,0.001066
FILLER_76_640,VSS,Metal1,313.4400,302.4000,0.001066
FILLER_76_630,VSS,Metal1,308.6400,302.4000,0.001066
FILLER_76_626,VSS,Metal1,307.1880,302.7760,0.001065
FILLER_76_619,VSS,Metal1,304.5660,302.8600,0.001040
FILLER_76_611,VSS,Metal1,299.2800,302.4000,0.001007
FILLER_76_607,VSS,Metal1,298.0680,302.7760,0.001007
FILLER_76_589,VSS,Metal1,288.7200,302.4000,0.000912
FILLER_76_583,VSS,Metal1,286.0800,302.4000,0.000752
FILLER_76_576,VSS,Metal1,283.9260,302.8600,0.000752
FILLER_76_569,VSS,Metal1,280.5660,302.8600,0.000752
