Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_77_406,VDD,Metal1,201.1200,306.1800,1.198114
FILLER_77_402,VDD,Metal1,199.6910,306.7760,1.198099
FILLER_77_392,VDD,Metal1,194.1600,306.1800,1.198097
FILLER_77_390,VDD,Metal1,193.4400,306.1800,1.198097
FILLER_77_366,VDD,Metal1,181.6800,306.1800,1.198075
FILLER_77_362,VDD,Metal1,180.4910,306.7760,1.198075
FILLER_77_349,VDD,Metal1,173.5200,306.1800,1.199940
FILLER_77_347,VDD,Metal1,172.8000,306.1800,1.199940
FILLER_77_340,VDD,Metal1,170.6490,306.7780,1.199958
FILLER_77_318,VDD,Metal1,158.8800,306.1800,1.199930
FILLER_77_314,VDD,Metal1,157.4510,306.7760,1.199745
FILLER_77_307,VDD,Metal1,154.8090,306.7780,1.199721
FILLER_77_296,VDD,Metal1,149.5290,306.7780,1.199688
FILLER_77_285,VDD,Metal1,144.2490,306.7780,1.199660
FILLER_77_278,VDD,Metal1,140.8890,306.7780,1.199647
FILLER_77_271,VDD,Metal1,137.5290,306.7780,1.199635
FILLER_77_232,VDD,Metal1,117.6000,306.1800,1.199698
FILLER_77_225,VDD,Metal1,115.4490,306.7780,1.199705
FILLER_77_218,VDD,Metal1,112.0890,306.7780,1.199729
FILLER_77_211,VDD,Metal1,108.7290,306.7780,1.199753
FILLER_77_180,VDD,Metal1,92.4000,306.1800,1.199307
FILLER_77_176,VDD,Metal1,91.2110,306.7760,1.199307
FILLER_77_169,VDD,Metal1,88.5690,306.7780,1.199198
FILLER_77_156,VDD,Metal1,81.6110,306.7760,1.199197
FILLER_77_145,VDD,Metal1,75.6000,306.1800,1.199142
FILLER_77_143,VDD,Metal1,74.8800,306.1800,1.199142
FILLER_77_136,VDD,Metal1,72.7290,306.7780,1.199131
FILLER_77_129,VDD,Metal1,69.3690,306.7780,1.199119
FILLER_77_122,VDD,Metal1,66.0090,306.7780,1.199107
FILLER_77_115,VDD,Metal1,62.6490,306.7780,1.199094
FILLER_77_95,VDD,Metal1,53.0490,306.7780,1.199089
FILLER_77_85,VDD,Metal1,46.8000,306.1800,1.199797
FILLER_77_83,VDD,Metal1,46.0800,306.1800,1.199797
FILLER_77_72,VDD,Metal1,40.5600,306.1800,1.199800
FILLER_77_65,VDD,Metal1,38.6490,306.7780,1.199801
FILLER_77_58,VDD,Metal1,35.2890,306.7780,1.199804
FILLER_77_51,VDD,Metal1,31.9290,306.7780,1.199806
FILLER_77_44,VDD,Metal1,28.5690,306.7780,1.199806
FILLER_77_4,VDD,Metal1,7.9200,306.1800,1.199929
FILLER_77_0,VDD,Metal1,6.7310,306.7760,1.199929
FILLER_76_642,VDD,Metal1,314.1600,306.1800,1.199078
FILLER_76_640,VDD,Metal1,313.4400,306.1800,1.199078
FILLER_76_630,VDD,Metal1,308.6400,306.1800,1.199144
FILLER_76_626,VDD,Metal1,307.2110,305.5830,1.199145
FILLER_76_619,VDD,Metal1,304.5690,305.5810,1.199146
FILLER_76_611,VDD,Metal1,299.2800,306.1800,1.199220
FILLER_76_607,VDD,Metal1,298.0910,305.5830,1.199235
FILLER_76_589,VDD,Metal1,288.7200,306.1800,1.199244
FILLER_76_583,VDD,Metal1,286.0800,306.1800,1.199257
FILLER_76_576,VDD,Metal1,283.9290,305.5810,1.199257
FILLER_76_569,VDD,Metal1,280.5690,305.5810,1.199309
FILLER_76_548,VDD,Metal1,269.0400,306.1800,1.199548
FILLER_76_546,VDD,Metal1,268.3200,306.1800,1.199548
